step,layer,head,edge,light,heavy_slice,abs_diff,rel_diff
27,0,20,R1->P,0.005764775854699752,0.005764742546221789,3.330847796276931e-08,5.77793114638004e-06
27,0,20,R1->R1,0.8532811333151424,0.8535367741304285,0.0002556408152860623,0.000299597407354894
27,0,20,R1->S,0.12940176795510686,0.12947161057416132,6.984261905446099e-05,0.0005397346586384459
27,0,20,R1->X,0.06448152486015768,0.06443016669329475,5.13581668629276e-05,0.0007964787894565
27,0,20,S->P,0.01283055982168983,0.01283055982168983,0.0,0.0
27,0,20,S->R1,0.061345205587499285,0.061345205587499285,0.0,0.0
27,0,20,S->S,0.8872935912188362,0.8872935912188362,0.0,0.0
27,0,20,S->X,0.12008380889892578,0.12008380889892578,0.0,0.0
27,0,20,X->P,0.013399001210927963,0.013399001210927963,0.0,0.0
27,0,20,X->R1,0.04234527796506882,0.04234527796506882,0.0,0.0
27,0,20,X->S,0.07483653724193573,0.07483653724193573,0.0,0.0
27,0,20,X->X,0.9113553762435913,0.9113553762435913,0.0,0.0
27,4,0,P->P,0.7127790451049805,0.7127790451049805,0.0,0.0
27,4,0,P->R1,0.0338670052587986,0.0338670052587986,0.0,0.0
27,4,0,P->S,0.049880191683769226,0.049880191683769226,0.0,0.0
27,4,0,P->X,0.2090107798576355,0.2090107798576355,0.0,0.0
27,4,0,R1->P,0.0015774210367132636,0.0015790074625435997,1.5864258303360888e-06,0.0010057085542878189
27,4,0,R1->R1,0.8654528225169462,0.8664536195642808,0.0010007970473345784,0.001156385445048314
27,4,0,R1->S,0.10362279415130615,0.10380145381478702,0.00017865966348086515,0.0017241347808088724
27,4,0,R1->X,0.0904686450958252,0.0895170674604528,0.0009515776353723887,0.010518314211122199
27,4,0,S->P,0.003955771817880518,0.003955771817880518,0.0,0.0
27,4,0,S->R1,0.09647351152756635,0.09647351152756635,0.0,0.0
27,4,0,S->S,0.8659535576315487,0.8659535576315487,0.0,0.0
27,4,0,S->X,0.13798731916091023,0.13798731916091023,0.0,0.0
27,4,0,X->P,0.03813159465789795,0.03813159465789795,0.0,0.0
27,4,0,X->R1,0.06452268362045288,0.06452268362045288,0.0,0.0
27,4,0,X->S,0.0912146121263504,0.0912146121263504,0.0,0.0
27,4,0,X->X,0.8599318861961365,0.8599318861961365,0.0,0.0
27,4,4,P->P,0.9254483580589294,0.9254483580589294,0.0,0.0
27,4,4,P->R1,0.015802741050720215,0.015802741050720215,0.0,0.0
27,4,4,P->S,0.015182308852672577,0.015182308852672577,0.0,0.0
27,4,4,P->X,0.04640873149037361,0.04640873149037361,0.0,0.0
27,4,4,R1->P,0.03276212776408476,0.03425862508661607,0.0014964973225313066,0.045677659683991303
27,4,4,R1->R1,0.621529130374684,0.6196228476131663,0.0019062827615177191,0.003067085142684352
27,4,4,R1->S,0.08333687922533821,0.08326866346247055,6.82157628676544e-05,0.0008185543243490416
27,4,4,R1->X,0.31275808109956627,0.31308679019703584,0.00032870909746957055,0.0010510011326131852
27,4,4,S->P,0.04786429685704848,0.04786429685704848,0.0,0.0
27,4,4,S->R1,0.1321093054378734,0.1321093054378734,0.0,0.0
27,4,4,S->S,0.5872638365801643,0.5872638365801643,0.0,0.0
27,4,4,S->X,0.2876145418952493,0.2876145418952493,0.0,0.0
27,4,4,X->P,0.017542462795972824,0.017542462795972824,0.0,0.0
27,4,4,X->R1,0.3244625926017761,0.3244625926017761,0.0,0.0
27,4,4,X->S,0.2019733488559723,0.2019733488559723,0.0,0.0
27,4,4,X->X,0.48234525322914124,0.48234525322914124,0.0,0.0
27,4,8,P->P,0.9223057627677917,0.9223057627677917,0.0,0.0
27,4,8,P->R1,0.013220787048339844,0.013220787048339844,0.0,0.0
27,4,8,P->S,0.021455852314829826,0.021455852314829826,0.0,0.0
27,4,8,P->X,0.04895094409584999,0.04895094409584999,0.0,0.0
27,4,8,R1->P,0.009079496650134815,0.009083569049835205,4.072399700389903e-06,0.00044852703374580075
